X = 5.876, Y = -3.619
X = 5.759, Y = -3.803
X = 5.443, Y = -4.301
X = 4.997, Y = -5.005
X = 5.314, Y = -5.905
X = 5.167, Y = -5.48
X = 5.12, Y = -5.344
X = 4.951, Y = -4.858
X = -8.915, Y = -6.083
X = -8.683, Y = -6.019
X = -8.154, Y = -5.873
X = -7.861, Y = -5.792
X = -7.047, Y = -5.567
X = -6.78, Y = -5.493
X = -6.131, Y = -5.313
X = -5.735, Y = -5.203
X = -4.858, Y = -4.961
X = -5.067, Y = -5.018
X = -5.049, Y = -5.013
X = 6.113, Y = 7.801
X = 5.944, Y = 7.375
X = 5.938, Y = 7.361
X = 5.672, Y = 6.692
X = 5.317, Y = 5.798
X = 5.281, Y = 5.708
X = 5.222, Y = 5.56
X = 4.991, Y = 4.978
X = -0.812, Y = 7.055
X = -1.584, Y = 6.676
X = -1.84, Y = 6.551
X = -2.207, Y = 6.371
X = -2.794, Y = 6.083
X = -3.08, Y = 5.942
X = -3.869, Y = 5.556
X = -4.55, Y = 5.221
X = -4.935, Y = 5.032
X = -3.344, Y = 2.262
X = -3.554, Y = 2.614
X = -3.949, Y = 3.266
X = -3.993, Y = 3.338
X = -4.49, Y = 4.159
X = -4.861, Y = 4.77
X = -4.889, Y = 4.816
X = -1.258, Y = -2.668
X = -0.896, Y = -1.9
X = -0.54, Y = -1.147
X = -0.12, Y = -0.255
X = 2.383, Y = -2.273
X = 1.947, Y = -1.858
X = 1.837, Y = -1.753
X = 1.336, Y = -1.275
X = 0.902, Y = -0.861
X = 0.818, Y = -0.781
X = 0.33, Y = -0.315
X = 0.156, Y = -0.149
X = -0.061, Y = 0.058
X = -8.887, Y = 8.573
X = -8.634, Y = 8.34
X = -8.351, Y = 8.08
X = -8.278, Y = 8.013
X = -7.944, Y = 7.706
X = -7.698, Y = 7.48
X = -7.498, Y = 7.296
X = -6.841, Y = 6.692
X = -6.671, Y = 6.535
X = -6.555, Y = 6.428
X = -6.205, Y = 6.107
X = -5.854, Y = 5.785
X = -5.344, Y = 5.316
X = -5.304, Y = 5.279
X = -4.84, Y = 4.854
X = -1.135, Y = -5.576
X = -1.9, Y = -5.462
X = -2.131, Y = -5.428
X = -2.393, Y = -5.389
X = -3.217, Y = -5.266
X = -3.902, Y = -5.163
X = -4.411, Y = -5.087
X = -4.835, Y = -5.024
X = -5.098, Y = -4.986
X = -5.614, Y = -4.379
X = -5.373, Y = -4.622
X = -4.962, Y = -5.039
X = 1.374, Y = 1.432
X = 1.089, Y = 1.135
X = 0.511, Y = 0.532
X = 0.243, Y = 0.253
X = -0.134, Y = -0.139
X = 8.048, Y = -2.975
X = 7.727, Y = -3.188
X = 7.332, Y = -3.451
X = 7.168, Y = -3.56
X = 6.688, Y = -3.879
X = 6.665, Y = -3.894
X = 6.092, Y = -4.274
X = 5.33, Y = -4.781
X = 9.905, Y = -5.662
X = 9.809, Y = -5.649
X = 9.182, Y = -5.564
X = 9.164, Y = -5.562
X = 8.891, Y = -5.525
X = 8.121, Y = -5.421
X = 7.337, Y = -5.315
X = 7.107, Y = -5.284
X = 6.159, Y = -5.156
X = 5.938, Y = -5.126
X = 4.987, Y = -4.998
X = -4.745, Y = 5.752
X = -4.976, Y = 5.071
X = -7.707, Y = -3.831
X = -7.012, Y = -4.131
X = -6.254, Y = -4.459
X = -5.631, Y = -4.728
X = -5.092, Y = -4.961
X = -5.066, Y = -4.972
X = 3.012, Y = -3.042
X = 3.056, Y = -3.086
X = 3.28, Y = -3.306
X = 3.492, Y = -3.515
X = 3.959, Y = -3.975
X = 4.036, Y = -4.051
X = 4.393, Y = -4.403
X = 4.394, Y = -4.404
X = 4.853, Y = -4.856
X = -4.584, Y = 3.643
X = -4.604, Y = 3.71
X = -4.816, Y = 4.401
X = -4.91, Y = 4.708
X = 0.96, Y = 3.323
X = 0.857, Y = 2.964
X = 0.743, Y = 2.569
X = 0.493, Y = 1.705
X = 0.423, Y = 1.463
X = 0.28, Y = 0.968
X = 0.212, Y = 0.731
X = 0.144, Y = 0.499
X = -0.124, Y = -0.432
X = 0.049, Y = 0.172
X = 6.833, Y = 6.55
X = 6.367, Y = 6.156
X = 5.871, Y = 5.737
X = 5.109, Y = 5.092
X = 3.906, Y = -8.412
